Price,Neighborhood,Floor,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Concierge,Jogging Trail,Play Room,Storage Space,occupancy
18000,14,20.0,20.0,1,1,1.0,0.0,0,0,0,0,2.8,17.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
22000,7,20.0,20.0,0,1,1.0,1.0,1,1,1,0,4.1,19.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
16000,9,33.0,28.0,1,1,1.0,0.0,0,1,0,0,4.6,16.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
25000,7,29.0,33.0,1,1,1.0,0.0,1,0,0,0,4.3,396.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
18000,9,5.0,23.0,0,1,1.0,0.0,0,0,1,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1
35000,8,20.0,36.3,1,1,1.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0
18000,0,11.0,22.0,0,1,0.0,0.0,0,0,0,2,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
22000,0,19.0,22.1,0,1,1.0,0.0,0,0,0,1,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
45000,7,8.0,47.0,0,1,1.0,0.0,1,0,1,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0
21000,0,10.0,22.0,0,1,1.0,0.0,1,0,0,0,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0
42000,7,9.0,46.0,1,1,1.0,0.0,1,0,1,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
30000,8,26.0,36.3,1,1,1.0,0.0,0,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
16000,0,12.0,24.0,0,1,1.0,0.0,0,0,0,2,5.0,6.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0
45000,7,11.0,48.0,1,1,1.0,0.0,1,1,1,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
75000,7,15.0,103.0,3,3,1.0,0.0,1,1,0,2,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
18000,9,24.0,22.0,0,1,1.0,1.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30000,9,9.0,33.0,1,1,1.0,1.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
20000,9,25.0,20.0,0,1,1.0,0.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1
35000,7,27.0,49.0,1,1,1.0,0.0,1,1,1,2,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
27000,2,5.0,39.6,1,1,1.0,1.0,0,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0
16000,9,31.0,22.0,0,1,1.0,1.0,0,0,0,0,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
180000,15,15.0,650.0,5,3,0.0,0.0,0,0,0,0,4.3070110701107005,66.5,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30000,7,7.0,27.0,0,1,0.0,0.0,0,0,0,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
25000,7,15.0,27.0,0,1,0.0,0.0,1,0,0,1,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
26000,7,23.0,27.0,0,1,0.0,0.0,0,0,0,0,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35000,9,23.0,37.0,1,1,1.0,1.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
20000,9,6.0,23.0,0,1,1.0,1.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
42000,9,22.0,54.0,2,1,1.0,1.0,1,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
65000,7,26.0,84.0,2,2,1.0,0.0,1,1,1,2,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0
28000,9,11.0,32.0,0,1,1.0,1.0,0,0,0,0,4.5,152.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
40000,7,15.0,49.0,1,1,1.0,0.0,1,1,1,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0
26000,9,15.0,34.0,1,1,1.0,1.0,1,0,0,0,4.0,23.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
18000,4,15.0,38.0,1,1,0.0,0.0,0,0,0,2,4.0,3.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30000,14,15.0,55.0,2,1,1.0,0.0,1,1,1,1,4.3070110701107005,66.5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
23000,7,9.0,27.0,0,1,1.0,0.0,0,0,0,1,4.4,37.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0
35000,4,16.0,57.0,1,2,1.0,1.0,1,0,1,1,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
37000,0,34.0,53.5,2,1,1.0,0.0,0,1,0,0,4.7,185.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
22000,0,24.0,32.0,1,1,1.0,0.0,1,0,0,2,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0
21000,9,15.0,33.0,1,1,1.0,0.0,0,0,0,2,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
19000,4,15.0,28.0,0,1,1.0,0.0,0,0,0,0,4.4,165.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
25000,8,8.0,45.0,2,1,1.0,0.0,0,0,0,0,4.2,172.0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1
25000,8,8.0,42.0,2,2,1.0,0.0,0,0,0,0,3.7,41.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0
45000,4,8.0,80.0,2,2,1.0,1.0,1,0,1,0,4.3070110701107005,66.5,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
42000,7,15.0,48.65,2,2,0.0,0.0,0,0,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22000,0,7.0,34.0,1,1,1.0,0.0,0,1,0,0,4.3070110701107005,66.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
25000,9,33.0,37.0,1,1,1.0,1.0,0,1,0,0,4.3070110701107005,66.5,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0
40000,0,15.0,56.0,2,1,1.0,0.0,0,1,0,0,4.7,185.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1
